Wijk,Amsterdam Centrum,Amsterdam Nieuw-west,Amsterdam West,Amsterdam Noord,Amsterdam Zuid,Amsterdam Zuid-Oost,Amsterdam Oost
Amsterdam Centrum,0,0,1,3,0,0,0
Amsterdam Nieuw-west,0,0,0,0,0,0,0
Amsterdam West,1,0,0,3,0,0,0
Amsterdam Noord,3,0,3,0,0,0,1
Amsterdam Zuid,0,0,0,0,0,0,0
Amsterdam Zuid-Oost,0,0,0,0,0,0,0
Amsterdam Oost,0,0,0,1,0,0,0
