Wijk,Amsterdam Centrum,Amsterdam Nieuw-west,Amsterdam West,Amsterdam Noord,Amsterdam Zuid,Amsterdam Zuid-Oost,Amsterdam Oost
Amsterdam Centrum,0,14,17,6,14,8,19
Amsterdam Nieuw-west,14,0,18,2,10,1,8
Amsterdam West,17,18,0,3,8,5,11
Amsterdam Noord,6,2,0,0,2,0,3
Amsterdam Zuid,14,10,8,2,0,6,10
Amsterdam Zuid-Oost,8,1,5,0,6,0,14
Amsterdam Oost,19,8,11,3,10,14,0
