Wijk,Amsterdam Centrum,Amsterdam Nieuw-west,Amsterdam West,Amsterdam Noord,Amsterdam Zuid,Amsterdam Zuid-Oost,Amsterdam Oost
Amsterdam Centrum,0,5,4,0,5,0,6
Amsterdam Nieuw-west,5,0,4,0,1,0,2
Amsterdam West,5,4,0,0,1,0,4
Amsterdam Noord,0,0,0,0,0,0,0
Amsterdam Zuid,5,1,1,0,0,0,2
Amsterdam Zuid-Oost,0,0,0,0,0,0,0
Amsterdam Oost,6,2,4,0,2,0,0
