Wijk,Amsterdam Centrum,Amsterdam Nieuw-west,Amsterdam West,Amsterdam Noord,Amsterdam Zuid,Amsterdam Zuid-Oost,Amsterdam Oost
Amsterdam Centrum,0,1,1,0,0,3,3
Amsterdam Nieuw-west,1,0,1,0,0,0,0
Amsterdam West,1,1,0,0,0,3,2
Amsterdam Noord,0,0,0,0,0,0,0
Amsterdam Zuid,0,0,0,0,0,3,0
Amsterdam Zuid-Oost,3,0,3,0,3,0,6
Amsterdam Oost,3,0,2,0,0,6,0
